id,year,steal,female,age,black,hisp,msa,work,student,dadgone
1,1998,0,1,17,0,0,1,1,1,0
1,1999,1,1,18,0,0,1,1,1,0
1,2000,0,1,19,0,0,1,1,1,0
1,2001,0,1,20,0,0,1,1,1,0
1,2002,0,1,21,0,0,1,0,1,0
1,2003,0,1,22,0,0,1,1,0,0
2,1998,0,0,16,0,1,1,0,1,1
2,1999,0,0,17,0,1,1,0,1,1
2,2000,0,0,18,0,1,1,1,1,1
2,2001,0,0,19,0,1,1,1,1,1
2,2002,0,0,20,0,1,1,1,1,1
2,2003,0,0,21,0,1,1,1,1,1
3,1998,0,1,15,0,1,1,0,1,1
3,1999,0,1,16,0,1,1,1,1,1
3,2000,0,1,17,0,1,1,1,1,1
3,2001,0,1,18,0,1,1,1,1,1
3,2002,0,1,19,0,1,1,1,1,1
3,2003,0,1,20,0,1,1,1,0,1
8,1998,0,1,17,0,0,1,1,1,0
8,1999,0,1,18,0,0,1,1,1,0
8,2000,0,1,19,0,0,1,1,1,0
8,2001,0,1,20,0,0,1,1,0,0
8,2002,0,1,21,0,0,1,1,1,1
8,2003,0,1,22,0,0,1,1,0,1
9,1998,0,0,16,0,0,1,0,1,0
9,1999,0,0,17,0,0,1,0,1,0
9,2000,0,0,18,0,0,1,0,1,0
9,2001,0,0,19,0,0,1,1,1,1
9,2002,0,0,20,0,0,1,1,1,1
9,2003,0,0,21,0,0,1,1,1,1
10,1998,0,0,14,0,0,1,0,1,0
10,1999,0,0,15,0,0,1,0,1,0
10,2000,0,0,16,0,0,1,0,1,0
10,2001,0,0,17,0,0,1,0,1,0
10,2002,0,0,18,0,0,1,0,1,1
10,2003,0,0,19,0,0,1,0,1,1
13,1998,0,0,14,0,1,1,0,0,1
13,1999,0,0,15,0,1,1,1,1,1
13,2000,0,0,16,0,1,1,1,1,1
13,2001,0,0,17,0,1,1,1,0,1
13,2002,0,0,18,0,1,1,0,1,1
13,2003,0,0,19,0,1,1,0,0,1
16,1998,0,0,16,0,1,1,1,1,1
16,1999,0,0,17,0,1,1,0,1,1
16,2000,0,0,18,0,1,1,0,1,1
16,2001,1,0,19,0,1,1,1,0,1
16,2002,0,0,20,0,1,1,1,1,1
16,2003,1,0,21,0,1,1,1,1,1
21,1998,0,0,16,0,1,1,1,1,1
21,1999,0,0,17,0,1,1,0,0,1
21,2000,0,0,18,0,1,1,1,0,1
21,2001,0,0,19,0,1,1,1,1,1
21,2002,0,0,20,0,1,1,1,0,1
21,2003,0,0,21,0,1,1,1,0,1
22,1998,0,0,16,0,1,1,0,1,1
22,1999,0,0,17,0,1,1,1,1,1
22,2000,0,0,18,0,1,1,0,1,1
22,2001,0,0,19,0,1,1,1,0,1
22,2002,0,0,20,0,1,1,1,1,1
22,2003,0,0,21,0,1,1,1,0,1
25,1998,0,1,15,0,1,1,0,1,0
25,1999,0,1,16,0,1,1,1,1,0
25,2000,0,1,17,0,1,1,0,0,0
25,2001,0,1,18,0,1,1,1,0,0
25,2002,0,1,19,0,1,1,0,0,0
25,2003,0,1,20,0,1,1,0,0,0
28,1998,1,1,15,1,0,1,0,1,1
28,1999,0,1,16,1,0,1,0,1,1
28,2000,0,1,17,1,0,1,0,1,1
28,2001,0,1,18,1,0,1,0,1,1
28,2002,0,1,19,1,0,1,0,1,1
28,2003,0,1,20,1,0,1,0,1,1
31,1998,0,0,16,0,0,1,1,1,0
31,1999,0,0,17,0,0,1,1,1,0
31,2000,0,0,18,0,0,1,1,1,0
31,2001,0,0,19,0,0,1,0,1,0
31,2002,0,0,20,0,0,1,1,1,0
31,2003,0,0,21,0,0,1,1,1,0
33,1998,0,1,18,0,0,1,1,1,0
33,1999,0,1,19,0,0,1,1,1,0
33,2000,0,1,20,0,0,1,1,1,0
33,2001,0,1,21,0,0,1,1,1,0
33,2002,0,1,22,0,0,1,1,1,0
33,2003,0,1,23,0,0,1,1,0,0
34,1998,0,1,14,0,0,1,0,1,0
34,1999,0,1,15,0,0,1,0,1,0
34,2000,0,1,16,0,0,1,1,1,0
34,2001,0,1,17,0,0,1,1,1,0
34,2002,0,1,18,0,0,1,1,1,0
34,2003,0,1,19,0,0,1,1,1,0
35,1998,0,0,15,0,0,1,0,1,0
35,1999,0,0,16,0,0,1,0,1,0
35,2000,0,0,17,0,0,1,0,1,0
35,2001,0,0,18,0,0,1,1,1,0
35,2002,0,0,19,0,0,1,1,0,1
35,2003,0,0,20,0,0,1,0,1,1
37,1998,0,1,18,0,0,1,0,1,0
37,1999,0,1,19,0,0,1,0,1,0
37,2000,0,1,20,0,0,1,0,1,0
37,2001,0,1,21,0,0,1,0,1,0
37,2002,0,1,22,0,0,1,1,1,0
37,2003,0,1,23,0,0,1,1,1,0
38,1998,0,1,17,0,0,1,0,1,0
38,1999,0,1,18,0,0,1,0,1,0
38,2000,1,1,19,0,0,1,0,1,0
38,2001,0,1,20,0,0,1,0,1,0
38,2002,0,1,21,0,0,1,1,1,0
38,2003,0,1,22,0,0,1,1,0,0
39,1998,0,0,18,0,1,1,1,1,0
39,1999,0,0,19,0,1,1,1,1,0
39,2000,1,0,20,0,1,1,1,1,0
39,2001,0,0,21,0,1,1,1,1,0
39,2002,0,0,22,0,1,1,1,1,0
39,2003,0,0,23,0,1,1,1,0,0
41,1998,0,1,15,0,0,1,1,1,0
41,1999,1,1,16,0,0,1,1,1,0
41,2000,0,1,17,0,0,1,1,0,0
41,2001,0,1,18,0,0,1,1,0,0
41,2002,0,1,19,0,0,1,1,1,0
41,2003,0,1,20,0,0,1,1,1,0
42,1998,0,0,15,0,0,1,1,1,0
42,1999,1,0,16,0,0,1,1,1,0
42,2000,0,0,17,0,0,1,1,1,0
42,2001,0,0,18,0,0,1,1,1,0
42,2002,0,0,19,0,0,1,1,1,0
42,2003,0,0,20,0,0,1,1,1,0
44,1998,0,0,17,0,1,1,0,1,0
44,1999,0,0,18,0,1,1,0,1,0
44,2000,0,0,19,0,1,1,1,0,0
44,2001,0,0,20,0,1,1,0,1,0
44,2002,0,0,21,0,1,1,0,1,0
44,2003,0,0,22,0,1,1,1,0,0
49,1998,0,1,16,1,0,1,0,1,1
49,1999,0,1,17,1,0,1,0,1,1
49,2000,0,1,18,1,0,1,1,0,1
49,2001,0,1,19,1,0,1,1,0,1
49,2002,0,1,20,1,0,1,1,0,1
49,2003,0,1,21,1,0,1,1,0,1
51,1998,0,0,18,1,0,1,0,0,1
51,1999,0,0,19,1,0,1,1,0,1
51,2000,0,0,20,1,0,1,1,1,1
51,2001,0,0,21,1,0,1,1,1,1
51,2002,0,0,22,1,0,1,1,0,1
51,2003,0,0,23,1,0,1,1,0,1
52,1998,0,0,15,1,0,1,0,1,1
52,1999,0,0,16,1,0,1,0,1,1
52,2000,0,0,17,1,0,1,0,1,1
52,2001,0,0,18,1,0,1,0,1,1
52,2002,0,0,19,1,0,1,1,1,1
52,2003,0,0,20,1,0,1,1,0,1
53,1998,0,1,14,1,0,1,1,0,0
53,1999,0,1,15,1,0,1,1,1,0
53,2000,0,1,16,1,0,1,0,1,0
53,2001,0,1,17,1,0,1,0,0,0
53,2002,0,1,18,1,0,1,1,0,0
53,2003,0,1,19,1,0,1,1,0,0
55,1998,0,1,17,0,1,1,1,1,0
55,1999,0,1,18,0,1,1,0,1,0
55,2000,0,1,19,0,1,1,0,1,0
55,2001,0,1,20,0,1,1,0,1,0
55,2002,0,1,21,0,1,1,0,1,0
55,2003,0,1,22,0,1,1,0,1,0
