budget,usbox,rrating
4000000,17639,1
15000000,22441,1
15000000,22723,0
5000000,65388,1
15300000,81525,1
4500000,92723,1
1500000,119841,0
5000000,121016,0
20000000,121972,1
1750000,145540,1
4000000,146402,0
2000000,199176,1
20000000,206678,0
6000000,267194,1
17000000,275380,1
1000000,280351,0
17500000,325491,1
2500000,349132,0
12000000,378650,1
900000,381420,1
1700000,396035,1
5000000,413595,1
2500000,432360,1
20000000,468867,0
10000000,488872,0
7500000,533344,0
11000000,551002,1
4000000,563711,1
10000000,598645,1
40000000,659210,0
30000000,669625,0
18000000,676698,1
27000000,765637,1
5200000,795126,0
4000000,864959,0
25000000,881745,1
22000000,1000000,0
1700000,1000915,1
5500000,1010000,1
10000000,1011054,1
13000000,1020000,1
1987650,1030000,1
12500000,1037071,0
4703500,1040000,1
12500000,1040000,1
20000000,1060000,0
6000000,1060000,1
21000000,1060000,1
1000000,1067481,1
9000000,1069318,0
36000000,1070000,0
1500000,1080000,0
7200000,1090000,1
27000000,1090947,1
6500000,1109660,1
7000000,1110509,1
3000000,1150000,0
13000000,1151330,1
4168513,1160000,0
24000000,1160000,0
1500000,1160000,1
13000000,1173673,1
20000000,1180000,0
20000000,1190018,1
5032200,1200000,1
1500000,1222889,1
1000000,1239183,1
1600000,1240000,1
4750000,1253413,1
42000000,1262079,1
32000000,1308696,1
100000,1320000,0
4000000,1328679,1
6000000,1350000,0
19100000,1360000,1
7000000,1360000,0
1900000,1420578,0
8000000,1440000,1
2085771,1457248,1
10000000,1475746,1
12000000,1506998,0
15000000,1510000,0
4300000,1514942,1
9000000,1530535,1
350000,1531154,0
8500000,1550000,1
10000000,1562800,0
17000000,1569918,1
125000,1570000,1
9988320,1600000,0
7100000,1630000,1
10000000,1641788,1
20000000,1646664,1
16000000,1669971,0
400000,1692693,1
15500000,1693000,1
12000000,1700000,1
25000000,1702112,1
5000000,1730000,1
7000000,1740000,1
14000000,1750000,0
10000000,1750000,0
7000000,1770000,1
12000000,1779284,1
22000000,1800000,1
10418,1800000,1
7300000,1818681,1
7000000,1891936,0
80000000,1900451,0
10000000,1940000,1
350000,1980000,1
13000000,2037459,1
20000000,2060000,1
7000000,2062066,1
65000000,2070920,0
2000000,2072645,1
800000,2073984,1
450000,2075743,1
13300000,2086345,0
13000000,2087720,1
8194270,2150000,0
50000000,2180000,0
12000000,2201923,1
6000000,2207975,0
5000000,2220000,0
18000000,2222862,1
17000000,2230000,0
6500000,2270000,0
3200000,2277396,0
15000000,2281585,0
6000000,2290000,1
20000000,2320000,1
12000000,2326407,1
10000000,2330000,1
6500000,2339957,1
20000000,2353728,0
20000000,2374107,0
3000000,2380000,0
979750,2388804,1
15000000,2410000,1
4000000,2426851,1
10000000,2450000,0
9600000,2484186,1
2000000,2512846,1
200000,2530000,0
8000000,2540000,1
5000000,2590000,0
30000000,2680000,0
5000000,2710000,1
23000000,2715657,1
3700000,2730296,1
28000000,2775593,1
2000000,2830000,1
150000,2891288,0
3000000,2912606,1
9000000,2956339,0
1000000,2960000,1
1000000,2980000,1
30000000,3005605,0
8000000,3010000,1
7000000,3020000,0
9400000,3030000,1
11000000,3051221,1
5600000,3064356,0
20000000,3072434,1
25000000,3073392,1
14000000,3075255,1
8000000,3076425,1
840000,3090000,1
30000000,3102550,0
13516393,3190000,1
18000000,3203044,1
8000000,3210000,0
30000,3230000,0
28000000,3250000,1
22000000,3250000,1
3000000,3287435,1
15000000,3300000,1
10000000,3330000,0
2500000,3330000,0
2000000,3337931,1
250000,3390000,0
18000000,3420000,1
1500000,3450000,1
10000000,3570000,1
2850000,3681066,1
45000000,3681811,0
40000000,3688560,1
20000000,3750000,0
30000000,3765585,1
500000,3777210,0
250000,3802390,1
4000000,3816594,1
6442300,3820067,0
2000000,3885134,1
1350000,3897569,1
30000000,3909149,1
5546800,3950000,0
750000,4010000,1
20000000,4017609,1
3000000,4030000,1
7000000,4060000,1
1100000,4110000,1
250000,4210379,1
15000000,4235837,1
10000000,4240000,1
33000000,4283255,0
14000000,4299773,0
2000000,4310000,0
15000000,4360548,1
22000000,4398392,1
100000000,4411102,0
60000000,4426297,1
15000000,4440000,1
8500000,4444637,0
30000000,4460000,0
27000000,4476235,1
27000000,4485485,1
6000000,4543320,1
20000000,4560000,0
2000000,4601043,1
45000000,4617608,1
30000000,4690000,0
12000000,4717455,1
7000000,4720371,0
9000000,4777465,1
11000000,4814244,1
22000000,4835065,1
40000000,4835968,0
16000000,4839383,0
9000000,4886216,1
13000000,4919896,1
17000000,4930000,0
10000000,5005465,1
20000000,5005899,1
5000000,5010163,1
18000000,5014305,1
25000000,5128124,0
5300000,5190196,1
27000000,5204007,1
20000000,5210988,0
15000000,5306706,0
25000000,5310000,0
3500000,5350000,1
6000000,5360000,1
1000000,5360000,0
2000000,5383834,1
14000000,5463019,1
10000000,5490423,0
20000000,5501616,1
13500000,5501940,1
750000,5520368,1
12000000,5549923,0
